encountered_week,residence_neighborhood_district_name,site_type,sex,flu_shot,pathogen,n,positive,time_row,catchment,modeled_count_mean,modeled_count_sd,modeled_count_lower_95_CI,modeled_count_median,modeled_count_upper_95_CI,modeled_count_mode
2018-W45,Ballard,at_home,female,FALSE,all,0,0,1,-2.40297508893944,0.000871570586063383,0.000304135229388067,0.000418984447004295,0.000824416467459652,0.00159609531348424,0.000738844996911349
2018-W46,Ballard,at_home,female,FALSE,all,0,0,2,-2.40297508893944,0.00128565404988052,0.000377255499741387,0.000695913313457322,0.00123573850113421,0.00216230970492691,0.00114299786274274
2018-W47,Ballard,at_home,female,FALSE,all,0,0,3,-2.40297508893944,0.00190614858561295,0.000505384038724702,0.0010980194128858,0.00184485609437214,0.00306554117738372,0.00172915231324473
2018-W48,Ballard,at_home,female,FALSE,all,0,0,4,-2.40297508893944,0.00266509782121886,0.000652183836290751,0.00160621617764979,0.00259102365082672,0.0041478765965292,0.00244959918673026
2018-W49,Ballard,at_home,female,FALSE,all,0,0,5,-2.40297508893944,0.0037315839741196,0.000850091265201466,0.0023343752085398,0.00364048312152345,0.00564922841700757,0.00346519521103044
2018-W50,Ballard,at_home,female,FALSE,all,0,0,6,-2.40297508893944,0.00576770842360256,0.00123330869201735,0.00371990567930112,0.00564216272202447,0.00853135428662843,0.00539928459090677
2018-W51,Ballard,at_home,female,FALSE,all,0,0,7,-2.40297508893944,0.0105654851851338,0.00213522686927065,0.00699038969099028,0.0103578846128144,0.0153254247724935,0.00995478192723311
2018-W52,Ballard,at_home,female,FALSE,all,0,0,8,-2.40297508893944,0.0199335141698157,0.00385705734261543,0.0134350754189005,0.0195719832378153,0.0284967590061261,0.0188684465840715
2019-W01,Ballard,at_home,female,FALSE,all,0,0,9,-2.40297508893944,0.0348673108158982,0.00654863269723491,0.0237867937985552,0.0342692933217627,0.0493644401569671,0.0331039238859381
2019-W02,Ballard,at_home,female,FALSE,all,0,0,10,-2.40297508893944,0.0510629008832764,0.00943832707529164,0.0350551737420513,0.0502131476198094,0.0719248089164077,0.0485560103248765
2019-W03,Ballard,at_home,female,FALSE,all,0,0,11,-2.40297508893944,0.0373285801322706,0.00686579737785002,0.0256757554047702,0.0367130670355877,0.0524974042835905,0.0355125381578296
2019-W04,Ballard,at_home,female,FALSE,all,0,0,12,-2.40297508893944,0.0229053953076507,0.00424949848194271,0.0157023168922385,0.0225214133683868,0.0323020431998931,0.0217728043585215
2019-W05,Ballard,at_home,female,FALSE,all,0,0,13,-2.40297508893944,0.0223751919352583,0.00413670153020788,0.0153614459950635,0.0220018065224396,0.0315217370146692,0.021274071458406
2019-W06,Ballard,at_home,female,FALSE,all,0,0,14,-2.40297508893944,0.024950646456704,0.00460899613302215,0.0171369765924129,0.0245341772663727,0.0351429181630308,0.0237226916261945
2019-W07,Ballard,at_home,female,FALSE,all,0,0,15,-2.40297508893944,0.0274689817690932,0.00507354991868781,0.0188693038885603,0.0270098889438834,0.0386904026109889,0.0261155195976307
2019-W08,Ballard,at_home,female,FALSE,all,0,0,16,-2.40297508893944,0.0288326057994287,0.00533001371982553,0.0198009601763966,0.0283493041666144,0.0406239755068896,0.0274079188662744
2019-W09,Ballard,at_home,female,FALSE,all,0,0,17,-2.40297508893944,0.0281282153695414,0.00520626584675423,0.0193086338555448,0.027655314616706,0.0396480189335687,0.0267342738125501
